month_key,country_key,population_key,p_male,p_female,p_rural,p_growth_urban,p_growth_rural,p_0004_male,p_0004_female,p_0509_male,p_0509_female,p_1014_male,p_1014_female,p_1519_male,p_1519_female,p_2024_male,p_2024_female,p_2529_male,p_2529_female,p_3034_male,p_3034_female,p_3539_male,p_3539_female,p_4044_male,p_4044_female,p_4549_male,p_4549_female,p_5054_male,p_5054_female,p_5559_male,p_5559_female,p_6064_male,p_6064_female,p_6569_male,p_6569_female,p_7074_male,p_7074_female,p_7579_male,p_7579_female,p_80UP_male,p_80UP_female
115,2,307,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
116,2,308,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
117,2,309,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
118,2,310,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
119,2,311,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
120,2,312,49.44932653,50.55067347,81.483,0.959430782,-0.25541516,6.538404823,6.113215949,6.801714317,6.36122832,6.732337042,6.299849562,7.012922001,6.563393473,7.468736519,6.972291367,7.160459921,6.771192688,6.694658848,6.479780775,6.348645673,6.231512649,6.401537548,6.280434516,6.766668405,6.519008777,7.061669998,6.929174273,6.635478813,6.738563419,5.660146379,5.955287751,4.503635098,4.943362614,3.098244283,3.590331464,2.253980234,2.677729344,2.860760097,4.57364306
121,2,313,49.46177883,50.53822117,81.671,0.966674782,-0.284256234,6.422082281,6.007934786,6.764783894,6.330328743,6.6817644,6.254295632,6.888688735,6.460582157,7.440238922,6.95553921,7.234387599,6.82661468,6.770491713,6.534937976,6.357959894,6.232015402,6.318172133,6.225182905,6.618613584,6.388692326,6.974721231,6.82123378,6.679729269,6.759288069,5.75698374,6.042013406,4.67318687,5.109232664,3.225187193,3.743771721,2.312445311,2.742593862,2.880563231,4.565742683
122,2,314,49.46177883,50.53822117,81.671,0.966674782,-0.284256234,6.422082281,6.007934786,6.764783894,6.330328743,6.6817644,6.254295632,6.888688735,6.460582157,7.440238922,6.95553921,7.234387599,6.82661468,6.770491713,6.534937976,6.357959894,6.232015402,6.318172133,6.225182905,6.618613584,6.388692326,6.974721231,6.82123378,6.679729269,6.759288069,5.75698374,6.042013406,4.67318687,5.109232664,3.225187193,3.743771721,2.312445311,2.742593862,2.880563231,4.565742683
123,2,315,49.46177883,50.53822117,81.671,0.966674782,-0.284256234,6.422082281,6.007934786,6.764783894,6.330328743,6.6817644,6.254295632,6.888688735,6.460582157,7.440238922,6.95553921,7.234387599,6.82661468,6.770491713,6.534937976,6.357959894,6.232015402,6.318172133,6.225182905,6.618613584,6.388692326,6.974721231,6.82123378,6.679729269,6.759288069,5.75698374,6.042013406,4.67318687,5.109232664,3.225187193,3.743771721,2.312445311,2.742593862,2.880563231,4.565742683
124,2,316,49.46177883,50.53822117,81.671,0.966674782,-0.284256234,6.422082281,6.007934786,6.764783894,6.330328743,6.6817644,6.254295632,6.888688735,6.460582157,7.440238922,6.95553921,7.234387599,6.82661468,6.770491713,6.534937976,6.357959894,6.232015402,6.318172133,6.225182905,6.618613584,6.388692326,6.974721231,6.82123378,6.679729269,6.759288069,5.75698374,6.042013406,4.67318687,5.109232664,3.225187193,3.743771721,2.312445311,2.742593862,2.880563231,4.565742683
