year_code,country_code,qualityoflife_key,unemployment_rate,unemployment_rate_male,unemployment_rate_female,suicide_rate,suicide_rate_male,suicide_rate_female,sanitation_access,sanitation_access_urban,sanitation_access_rural,drinking_water_access,drinking_water_access_urban,drinking_water_access_rural,open_defecation_practice,death_probability_0509,death_probability_1014,death_probability_1519,death_probability_2024,catastrophic_health_expenditure_risk
2005,7,97,7.18,7.51,6.82,33.8,61.9,9.5,95.16873466,97.27103371,90.74418142,97.30967538,98.08265444,95.68284355,0.026015768,1.7,1.7,3.8,7.4,26.2
2006,7,98,6.81,7,6.6,30.8,56.1,8.9,95.40403789,97.33106795,91.31493337,96.86897347,97.33327348,95.88374651,0.019711384,1.6,1.6,3.8,7.4,18.6
2007,7,99,6.35,6.68,6,31.5,57.7,8.9,95.63792388,97.39110448,91.88713178,96.4248811,96.58407392,96.08430056,0.013476271,1.6,1.6,3.8,7.3,12.2
2008,7,100,6.36,6.62,6.09,30.9,56.5,8.8,95.87044468,97.4511433,92.46077663,95.97741904,95.83505577,96.28450573,0.007309615,1.5,1.5,3.7,7,9.3
2009,7,101,8.84,10.28,7.3,26.3,47.6,8,96.10154936,97.51118441,93.03586793,95.52660604,95.08621901,96.48436199,0.001211461,1.4,1.4,3.4,6.4,12.1
2010,7,102,8.1,9.29,6.82,24.5,44,7.7,96.32799929,97.57122781,93.61240569,95.07439751,94.33756365,96.68386936,0.001207846,1.3,1.4,3.1,5.8,11.7
2011,7,103,7.85,8.89,6.72,23,41.5,7.2,96.55389847,97.6312735,94.19038989,94.62045463,93.58908969,96.88302784,0.001204269,1.2,1.3,2.9,5.4,9.3
2012,7,104,7.53,8.48,6.47,23.1,41.6,7.3,96.77928739,97.69132148,94.76982054,94.16476498,92.84079713,97.08183742,0.001200692,1.1,1.2,2.9,5.2,6.7
2013,7,105,7.17,8.04,6.22,22.6,40.6,7.2,97.00416198,97.75137175,95.35069765,94.02839715,92.09268597,98.31183874,0.001197115,1.1,1.2,2.9,5.1,6.2
2014,7,106,9.27,10.85,7.52,24.4,44.1,7.4,97.2285182,97.81142431,95.9330212,93.58921377,91.34475621,98.57747517,0.001193539,1.2,1.5,3.3,6.6,11.8
2015,7,107,9.14,10.1,8.08,21.6,38.9,6.7,97.39925366,97.8695516,96.3494635,93.65690669,91.33350853,98.84311161,0.001189962,0.9,1.1,2.8,5,21.9
2016,7,108,9.35,10.84,7.69,21.4,38.5,6.6,97.56931625,97.9276789,96.76590581,93.72407862,91.32226084,99.10874804,0,0.9,1,2.5,4.2,21.4
2017,7,109,9.51,11.09,7.75,20.6,37.2,6.3,97.73344749,97.9858062,97.16524117,93.7908203,91.31101316,99.37438448,0,0.8,1,2.4,4,14.8
2018,7,110,8.8,10.03,7.43,21.9,39.8,6.5,97.74059161,97.99485328,97.16524117,93.85588486,91.29976548,99.64002091,0,0.8,1,2.4,3.8,12.2
2019,7,111,8.19,8.5,7.85,21.6,39.2,6.5,97.74159541,97.99485328,97.16524117,93.86696022,91.2885178,99.7349565,0,0.8,0.9,2.4,3.8,12
2020,7,112,9.48,8.5,7.85,21.6,39.2,6.5,97.74271759,97.99485328,97.16524117,93.92828195,91.27727011,100,0,0.8,0.9,2.4,3.8,7.5
2005,8,113,2.13,1.98,2.29,6.3,8.2,4.4,61.64097344,83.91870783,53.28333749,84.7833727,95.75177456,80.66850589,12.85427463,2.7,2.1,3.9,4.8,49.6
2006,8,114,2.08,2.07,2.09,6.4,8.6,4.3,63.60463279,84.79265525,55.41055218,85.61558343,95.91100173,81.63401849,11.9065894,2.5,2,3.9,4.7,48
2007,8,115,2.03,2.11,1.93,6.7,9.1,4.3,65.5572956,85.67020161,57.53868785,86.43984266,96.0702209,82.60040439,10.96871069,2.3,2,3.9,4.7,45.9
2008,8,116,1.8,1.94,1.64,6.9,9.6,4.3,67.49840034,86.55134691,59.66774448,87.25578359,96.22943209,83.5676636,10.0409732,2.1,2,3.9,4.5,40.6
2009,8,117,1.74,1.89,1.57,6.9,9.7,4.2,69.42821322,87.43609115,61.7977221,88.06343798,96.38863529,84.5357961,9.123416033,2,1.9,3.8,4.4,37.7
2010,8,118,1.11,1.15,1.08,7,9.8,4.2,71.34909419,88.32443433,63.92862068,88.86375815,96.5478305,85.50480191,8.215439691,1.8,1.9,3.7,4.3,40.6
2011,8,119,1,1.09,0.9,7.2,10.1,4.3,73.25730636,89.21637645,66.06044024,89.65489303,96.70701772,86.47468102,7.318509804,1.7,1.8,3.7,4.2,38.9
2012,8,120,1.03,1.11,0.93,7.4,10.4,4.3,75.15281942,90.11191751,68.19318077,90.43671611,96.86619695,87.44543343,6.432776348,1.5,1.8,3.6,4.1,38.2
2013,8,121,1.32,1.48,1.14,7.5,10.5,4.4,77.03452679,91.01105751,70.32684228,91.20864783,97.0253682,88.41705915,5.558686875,1.4,1.8,3.5,4,34.8
2014,8,122,1.26,1.4,1.11,7.6,10.8,4.5,78.90307591,91.91379646,72.46142476,92.42199387,97.52238755,89.8967739,4.696202282,1.3,1.7,3.4,3.9,33.7
2015,8,123,1.85,1.98,1.7,7.7,10.8,4.5,80.75801041,92.82013434,74.59692821,93.32806058,98.21274352,90.83306799,3.845595653,1.2,1.7,3.3,3.9,33.6
2016,8,124,1.85,1.99,1.7,7.7,10.8,4.6,82.59892171,93.73007117,76.73335264,94.10246596,98.53001697,91.76936208,3.00710521,1.2,1.6,3.2,3.8,32.2
2017,8,125,1.87,2.03,1.7,7.7,10.8,4.6,84.32223318,94.38380614,78.85357197,94.81407553,98.69327273,92.70565617,2.989243761,1.1,1.6,3.1,3.8,28.8
2018,8,126,1.16,1.28,1.03,7.6,10.6,4.6,86.02534939,95.03754112,80.9737913,95.51497454,98.85652849,93.64195026,2.971306171,1.1,1.5,3,3.7,29.5
2019,8,127,2.04,2.07,2.01,7.5,10.4,4.7,87.70813691,95.6912761,83.09401062,96.20509155,99.01978425,94.57824435,2.953292333,1,1.5,3,3.7,24.9
